epoch,mode,loss,Initialisation,Regression_0,Regression_1,Classification_0,Classification_1
14,False,4.164615631103516,0.9545432925224304,0.9388971328735352,0.9382142424583435,0.6690480709075928,0.6639106273651123
15,True,4.1830339431762695,0.9622847437858582,0.9445484280586243,0.9471533298492432,0.6682807207107544,0.6607668399810791
15,False,4.138285160064697,0.9456534385681152,0.9352321624755859,0.9340167045593262,0.662567675113678,0.6608151197433472
16,True,4.155534744262695,0.9537795186042786,0.9384497404098511,0.9403280019760132,0.6640815138816833,0.6588945388793945
16,False,4.123162269592285,0.9414882063865662,0.9316946268081665,0.9303416609764099,0.6604787111282349,0.6591573357582092
17,True,4.165932655334473,0.9572062492370605,0.9409031867980957,0.9425732493400574,0.6649764776229858,0.6602757573127747
17,False,4.123190402984619,0.9425013065338135,0.9312332272529602,0.9303337335586548,0.6602368354797363,0.6588848829269409
18,True,4.154356002807617,0.9545434713363647,0.9374279379844666,0.9390907883644104,0.6642214059829712,0.6590734124183655
18,False,4.130342960357666,0.9443762898445129,0.9328199028968811,0.931250274181366,0.6619348526000977,0.6599634289741516
19,True,4.154498100280762,0.9551084041595459,0.9379664063453674,0.9397532939910889,0.6635301113128662,0.65813809633255
19,False,4.125154495239258,0.9431831240653992,0.9318445920944214,0.930147111415863,0.6610115766525269,0.658968448638916
20,True,4.158215522766113,0.9569653868675232,0.9380437135696411,0.9391814470291138,0.6647111773490906,0.6593133211135864
20,False,4.125216960906982,0.9446056485176086,0.93199223279953,0.9300733208656311,0.6601336002349854,0.6584126353263855
21,True,4.162960529327393,0.9579522609710693,0.9394621253013611,0.9405710101127625,0.6650914549827576,0.6598849892616272
21,False,4.129826545715332,0.9451962113380432,0.933566153049469,0.9319093227386475,0.6600865125656128,0.6590688228607178
22,True,4.1610822677612305,0.9575613141059875,0.9397384524345398,0.940482497215271,0.6639992594718933,0.6593027114868164
22,False,4.126923561096191,0.9454398155212402,0.9329100251197815,0.931130051612854,0.6595916748046875,0.6578526496887207
23,True,4.193281173706055,0.9701327085494995,0.9460235834121704,0.9469382166862488,0.6681072115898132,0.662078320980072
23,False,4.14746618270874,0.9562774896621704,0.9362096786499023,0.9340146780014038,0.6617445349693298,0.659221351146698
24,True,4.177426815032959,0.9641895294189453,0.9412018060684204,0.942116379737854,0.6688518524169922,0.6610717177391052
24,False,4.139898300170898,0.9514421224594116,0.9328092932701111,0.9307756423950195,0.6649109125137329,0.659960150718689
25,True,4.186179161071777,0.9651485681533813,0.9426038861274719,0.9435563087463379,0.6725316643714905,0.6623391509056091
25,False,4.1527628898620605,0.9541465640068054,0.9349715113639832,0.9328497052192688,0.6696754693984985,0.6611202955245972
26,True,4.193549156188965,0.9710288643836975,0.9445425868034363,0.9450709223747253,0.6703600287437439,0.6625460386276245
26,False,4.147017955780029,0.9549021124839783,0.9353888034820557,0.9330754280090332,0.6630459427833557,0.6606064438819885
